,dataset,best method,silhouette mean,silhouette variance,silhouette max,silhouette min,best height,height mean,height variance,height max,height min,best k,k mean,k variance,k max,k min
0,Original,single,0.5129911611345482,0.0,0.5129911611345482,0.5129911611345482,0.5026820329779071,4.228151591794961,56.66528244529109,22.630433106604656,0.5026820329779071,3,3.0,0.0,3,3
1,Augmented,ward,0.3591969394124837,0.00018291948215408527,0.3710668557538428,0.32929177534618864,48.477394517247546,9.167097832196102,258.03727810489164,48.477394517247546,1.6220954366888047,3,4.428571428571429,1.1020408163265307,6,3
2,Indicators,single,0.38408511480624713,0.0007451325046557468,0.4096951483926744,0.3282296044266296,2.29583233190457,6.544438852604486,84.26273816647198,28.996040760865796,2.097963006019842,2,2.5714285714285716,1.1020408163265307,5,2
3,Original Reduced,single,0.6702663861363999,0.0,0.6702663861363999,0.6702663861363999,0.19630299888234629,3.1754094999534295,38.43727642439742,18.342744211597378,0.19630299888234629,2,2.0,0.0,2,2
4,Augmented Reduced,single,0.55234261321311,2.5785776537152637e-06,0.5533582071582899,0.5498036283501602,0.7245360197874405,3.9157213562108817,47.01449972834139,20.69577191466122,0.7245360197874405,2,2.2857142857142856,0.20408163265306123,3,2
5,Indicators Reduced,ward,0.43676489799414114,0.0003775963564430757,0.4545143891070112,0.39070231543268674,17.613063436573817,3.460278616204843,33.55346734824943,17.613063436573817,0.7548098334787937,5,5.714285714285714,5.632653061224489,9,2
6,Random Original,single,0.22078994276955752,0.00532278025715546,0.2744193109799903,0.10411085426287417,0.6597080436118885,3.0754291755090084,15.47810156828216,12.662119180960257,0.6597080436118885,8,6.428571428571429,7.959183673469388,9,2
7,Random Augmented,average,0.13204468136992067,0.002735883346869058,0.18470192437379315,0.04449653396885366,3.002944748958403,6.671760494163954,80.02777018539005,28.541318193147532,2.055782085874433,8,6.571428571428571,14.530612244897958,11,2
8,Random Indicators,weighted,0.1248495826248088,0.001772722437685914,0.15711841486616257,0.02571230767683628,2.9373270534186924,6.581422836541074,86.94960897896635,29.378075965530527,1.8793633417056166,11,6.714285714285714,15.346938775510207,11,2
9,Random Original Reduced,single,0.22078994276955752,0.00532278025715546,0.2744193109799903,0.10411085426287417,0.6597080436118885,3.0754291755090084,15.47810156828216,12.662119180960257,0.6597080436118885,8,6.428571428571429,7.959183673469388,9,2
10,Random Augmented Reduced,single,0.09131906162774164,0.0025503185400410533,0.13712551138870957,-0.02067844524339885,1.5524272232662468,4.219262393439411,21.441559324436973,15.498884382894124,1.5524272232662468,2,4.142857142857143,9.551020408163266,11,2
11,Random Indicators Reduced,weighted,0.11318926466291977,0.0009287311578550307,0.1444863910706048,0.04762529797113069,1.9842917436735568,3.8518930769999034,20.584523403913643,14.90609238365431,1.280765936376764,11,5.285714285714286,14.775510204081632,11,2
